x,y,Slope12,DEM12,rainfall_intensity,Aspect_nakhon,raster_ndvi,distance_road,distance_drainage,distance_fault,Curvature_nakhon,NDWI_combine,nakhon_geology,S/N
584885.1875,1023515.938,0,1,1308.723999,288.4349365,0.230020791,971.2450562,2171.77002,4607.02002,-0.105901681,-0.262564421,29,-1
585841.8125,1023336.625,8.842258453,-12,1309.540527,53.13010406,0.283493936,1535.673218,1750.93689,5429.424805,0,-0.284791917,29,-1
586947.875,1023127.313,4.044691086,-13,1311.539307,288.4349365,0.418815285,686.7739868,1456.867554,4999.790039,0.105901681,-0.387000471,29,-1
588024.125,1023306.688,0.810230672,-20,1313.953979,78.69007111,0.304943591,1085.88501,971.2450562,3792.833252,-0.105901681,-0.287252128,87,-1
588681.8125,1023486.063,2.290610075,-20,1315.78833,251.5650482,0.158892795,1456.867554,485.6225281,3792.833252,0,-0.176388398,109,-1
589518.8125,1023755.125,2.560638905,-14,1316.82605,149.0362396,0.378617972,1456.867554,0,3109.501465,-0.105901681,-0.346459508,109,-1
590086.8125,1023127.313,2.560638905,-12,1300.706787,198.4349518,0.30005762,971.2450562,485.6225281,2428.112549,0,-0.275463164,109,-1
589459.0625,1023127.313,0,-13,1315.66394,180,0.348339319,1456.867554,0,2747.095947,0.105901681,-0.318384916,109,-1
582942,1023814.938,2.429397106,14,1303.613159,305.5376892,0.351425499,686.7739868,4004.545898,4397.499023,-0.105901681,-0.309232652,29,-1
583569.8125,1024203.563,2.290610075,7,1306.658691,90,0.434659094,0,3433.869873,3884.980225,0.105901681,-0.397007227,29,-1
587515.875,1022798.5,0.810230672,-20,1312.038696,203.1985931,0.363823622,1085.88501,1535.673218,3915.214111,-0.105901681,-0.336798012,87,-1
585483.0625,1022768.625,1.811248064,-2,1307.042114,6.842773438,0.243109062,971.2450562,2428.112549,5230.314453,0.105901681,-0.276788443,29,-1
589249.8125,1022439.75,6.50463438,-15,1312.941406,356.1859131,0.313636363,1942.490112,485.6225281,2428.112549,0.423606724,-0.287194848,109,-1
590206.4375,1022230.5,3.618883133,-10,1299.755859,39.80557251,0.39155516,971.2450562,0,1750.93689,0.105901681,-0.362249494,109,-1
589578.625,1022021.25,2.429397106,-12,1312.398804,51.34019089,0.3796857,1456.867554,0,1750.93689,-0.317705035,-0.34985587,109,-1
587755.0625,1022230.5,4.124517918,-15,1310.890991,104.0362473,0.382741481,1535.673218,1942.490112,3698.390869,-0.105901681,-0.354236484,29,-1
587007.6875,1022439.75,5.653572559,-17,1309.075806,45,0.296450049,1535.673218,2428.112549,4607.02002,-0.211803362,-0.272356868,29,-1
586918,1021931.563,2.290610075,-7,1307.907104,188.1300964,0.383322835,1535.673218,2831.641602,4477.218262,0,-0.351118833,29,-1
585841.8125,1021662.5,5.419335842,20,1305.647705,274.3987122,0.361635566,686.7739868,3071.346436,4581.354004,0.317705035,-0.334903896,29,-1
585034.625,1021991.313,5.878250122,6,1303.0271,241.6992493,0.400913447,0,3399.357666,4149.160645,0.423606724,-0.363027245,29,-1
584496.5,1022678.938,1.811248064,18,1304.496094,288.4349365,0.388990492,0,3109.501465,4952.397461,0.211803362,-0.355071187,85,-1
584406.8125,1021752.188,4.044691086,4,1301.591309,116.5650482,0.369024724,0,3433.869873,4004.545898,-0.317705035,-0.345321059,29,-1
583091.5,1022051.125,5.111089706,20,1298.504028,161.5650482,0.381216288,1085.88501,4343.540039,4370.602539,0.423606724,-0.358228713,29,-1
582762.625,1022619.125,6.147248268,25,1300.183472,281.3099365,0.358713001,971.2450562,4343.540039,4856.225098,0.423606724,-0.336241305,29,-1
