x,y,Slope12,DEM12,rainfall_intensity,Aspect_nakhon,raster_ndvi,distance_road,distance_drainage,distance_fault,Curvature_nakhon,NDWI_combine,nakhon_geology,S/N
558608,959820,30.57299995,891,1490.540039,190.9806519,0.442335457,9328.503906,1085.88501,3109.501465,-0.211803362,-0.410739511,32,1
555493,959858,30.01740074,978,1467,158.1985931,0.438529164,10198.07324,686.7739868,4782.827148,-0.211803362,-0.422694176,32,1
558888,959809,28.65410042,855,1493.290039,148.3925018,0.446688086,9033.101563,971.2450562,2747.095947,0.105901681,-0.410470396,32,1
555990,959870,25.68939972,843,1471.140015,116.3504639,0.45935601,10683.69531,0,5070.047852,-0.63541007,-0.425797135,32,1
555170,959870,18.0340004,1033,1463.869995,156.5409698,0.420568198,10683.69531,686.7739868,5429.424805,0.529508412,-0.388910532,32,1
558971,959894,38.23490143,870,1492.910034,152.9930878,0.456333727,9429.083984,971.2450562,2428.112549,-1.059016824,-0.402835637,32,1
556470,959852,4.044690132,713,1474.420044,48.01278687,0.440988183,10198.07324,0,4477.218262,-0.529508412,-0.409886301,32,1
555115,960055,24.85589981,1038,1463.869995,73.66395569,0.440556049,10683.69531,686.7739868,5429.424805,0,-0.407459974,32,1
557168,960055,30.11370087,794,1481.72998,216.4954224,0.389080286,10650.5332,485.6225281,4149.160645,-0.953115165,-0.34325549,32,1
559071,960016,27.14150047,915,1492.910034,162.6994781,0.439636976,9429.083984,971.2450562,2428.112549,-0.423606724,-0.417319119,32,1
556054,960069,24.27529907,828,1471.140015,86.82016754,0.468889564,10683.69531,0,5070.047852,0.105901681,-0.434534013,32,1
555330,960132,8.984880447,942,1463.869995,38.04704285,0.456655204,10683.69531,686.7739868,5429.424805,-1.059016824,-0.423710942,32,1
555089,960181,19.18029976,1021,1463.869995,85.69553375,0.447063625,10683.69531,686.7739868,5429.424805,-0.741311789,-0.416377693,32,1
556971,960020,25.71839905,724,1481.72998,192.2157135,0.42960161,10650.5332,485.6225281,4149.160645,0,-0.398312718,32,1
555867,960168,25.65069962,865,1467.52002,57.60860825,0.447001785,10683.69531,485.6225281,5230.314453,0.211803362,-0.413322747,32,1
559064,960232,28.54879951,986,1492.910034,113.0851364,0.462085694,9429.083984,971.2450562,2428.112549,-0.105901681,-0.421997935,32,1
557774,960243,21.81380081,769,1484.650024,145.0079803,0.440072179,10324.47656,686.7739868,3698.390869,1.482623577,-0.421779543,32,1
559856,960273,14.61540031,830,1497.920044,115.9065094,0.413709313,8914.844727,0,1750.93689,1.376721859,-0.382660031,32,1
554850,960409,22.38310051,1050,1460.920044,34.42647552,0.41138804,11169.31836,971.2450562,6084.833008,-0.317705035,-0.382072121,32,1
556250,960451,28.54879951,737,1471.52002,55.61965561,0.422023684,11169.31836,0,4952.397461,-1.588525295,-0.394323558,32,1
559416,960169,25.37689972,843,1495.469971,133.492569,0.443058252,9162.708008,485.6225281,2060.321777,0.105901681,-0.407354534,32,1
557365,960336,22.05859947,845,1481.72998,95.90614319,0.419902474,10650.5332,485.6225281,4149.160645,-0.953115165,-0.390274107,32,1
559955,960491,27.6984005,856,1497.420044,112.3354416,0.426630735,9341.135742,0,1373.547974,0.847213447,-0.394162893,32,1
554754,960561,23.30699921,1039,1460.920044,30.74996758,0.419430703,11169.31836,971.2450562,6084.833008,0.105901681,-0.390257508,32,1
558837,960467,25.71839905,935,1489.969971,354.4006653,0.435529172,10105.15039,1456.867554,2615.157227,0,-0.40457058,32,1
558324,960604,10.14210033,807,1487.300049,136.8476105,0.421914995,10392.77637,1373.547974,3071.346436,-0.529508412,-0.388996065,32,1
560097,960617,23.59600067,766,1497.420044,81.98876953,0.441889942,9341.135742,0,1373.547974,-0.317705035,-0.410796106,32,1
557906,960542,23.89069939,807,1487.300049,132.9545898,0.442501843,10392.77637,1373.547974,3071.346436,-0.211803362,-0.408850402,32,1
557637,960109,17.34930038,763,1484.650024,75.41107941,0.460527211,10324.47656,686.7739868,3698.390869,-0.317705035,-0.427823782,32,1
567099,959805,18.74780083,492,1543.459961,120.6997223,0.470613062,5827.470215,0,0,0.953115165,-0.434078097,32,1
567101,959810,18.74780083,492,1543.459961,120.6997223,0.469111264,5827.470215,0,0,0.953115165,-0.408368617,32,1
567100,959824,15.02029991,494,1543.459961,120.6997223,0.469111264,5827.470215,0,0,0.953115165,-0.408368617,32,1
572094,959823,23.7166996,440,1584.060059,50.64054871,0.429076016,971.2450562,1373.547974,2953.926514,0.423606724,-0.398983449,32,1
572035,959839,26.99029922,454,1584.060059,42.70938873,0.452259451,971.2450562,1373.547974,2953.926514,-0.847213447,-0.420750409,32,1
571965,959860,29.98010063,466,1584.060059,35.40686417,0.348672867,971.2450562,1373.547974,2953.926514,-0.105901681,-0.31839177,32,1
568125,959854,35.56940079,572,1572.560059,77.30041504,0.463371456,4856.225098,686.7739868,0,1.059016824,-0.431741655,32,1
564724,959850,14.13290024,560,1532.02002,135,0.466954798,6142.692871,686.7739868,485.6225281,-1.270820141,-0.435365289,32,1
567193,959864,34.21569824,465,1543.459961,70.52342224,0.450726867,5827.470215,0,0,2.118033648,-0.41675964,32,1
566665,959902,31.52969933,633,1540.25,77.86867523,0.403446048,6084.833008,0,0,-0.847213447,-0.373408765,32,1
564002,959929,27.90250015,680,1526.23999,164.3577576,0.470142186,6953.056641,485.6225281,485.6225281,0.847213447,-0.433267325,32,1
568002,959909,21.7147007,611,1571.76001,55.40771103,0.462833971,5341.847656,485.6225281,0,0.529508412,-0.404033065,32,1
569327,959863,19.7989006,360,1575,91.63657379,0.456489146,3884.980225,1085.88501,971.2450562,0.423606724,-0.421088547,32,1
564997,959908,26.78359985,550,1531.069946,142.9434662,0.464475721,6605.180664,1085.88501,686.7739868,-0.211803362,-0.432354093,32,1
561881,959934,43.49150085,882,1515.859985,102.792305,0.449917167,7964.801758,0,686.7739868,-1.164918542,-0.419805557,32,1
568039,960026,22.1916008,592,1571.76001,81.70285797,0.438592881,5341.847656,485.6225281,0,-0.105901681,-0.410400361,32,1
564040,960002,21.10680008,684,1526.23999,68.62937927,0.43791607,6953.056641,485.6225281,485.6225281,0.953115165,-0.381900877,32,1
564889,959987,25.99609947,619,1531.069946,102.4259415,0.468127817,6605.180664,1085.88501,686.7739868,0.423606724,-0.436162055,32,1
